Wall time,Step,Value
1636804019.2618392,3000,9918.375
1636804019.9882665,3500,10616.6572265625
1636804022.942237,5500,12277.3818359375
1636804023.6705248,6000,12554.21484375
1636804025.1304746,7000,13040.787109375
1636804025.8403604,7500,13173.734375
1636804026.574915,8000,13323.1787109375
1636804028.0142357,9000,13581.333984375
1636804028.7401729,9500,13749.75
1636804029.4533644,10000,13819.4765625
1636804030.162659,10500,13908.033203125
1636804033.0077899,12500,14148.1669921875
1636804039.4840858,17000,15440.0576171875
1636804040.1960151,17500,15406.505859375
1636804041.6399899,18500,15329.5556640625
1636804043.8176618,20000,15173.748046875
1636804044.528144,20500,15122.63671875
1636804045.9744148,21500,14993.6494140625
1636804047.4231,22500,14859.9091796875
1636804048.154822,23000,14788.494140625
1636804049.57718,24000,14667.8935546875
1636804051.018036,25000,14592.9873046875
1636804051.7190402,25500,14552.9462890625
1636804053.8961449,27000,14395.05859375
1636804054.6225429,27500,14346.9990234375
1636804055.3459983,28000,14330.9072265625
1636804056.0700457,28500,14266.107421875
1636804056.7811065,29000,14215.103515625
1636804058.9298093,30500,14170.6259765625
1636804059.6495478,31000,14179.94140625
1636804061.0867152,32000,14205.3212890625
1636804062.5475926,33000,14195.2587890625
1636804063.2739036,33500,14255.5859375
1636804063.9992075,34000,14304.34765625
1636804064.711092,34500,14373.1259765625
1636804066.854183,36000,14630.6884765625
1636804067.5992355,36500,14657.7421875
1636804068.3213184,37000,14674.0498046875
1636804069.045721,37500,14667.6416015625
1636804070.4824436,38500,14525.7568359375
1636804072.6666746,40000,14327.1357421875
1636804076.260675,42500,13939.5693359375
1636804076.9829786,43000,13802.0576171875
1636804077.6991334,43500,13700.4658203125
1636804078.412586,44000,13600.74609375
1636804079.128934,44500,13553.6845703125
1636804079.8534567,45000,13604.3193359375
1636804083.511722,47500,13633.7041015625
1636804089.2670014,51500,14263.2626953125
1636804091.3889256,53000,14677.1005859375
1636804092.1260514,53500,14808.58203125
1636804097.1233766,57000,15551.2353515625
