Wall time,Step,Value
1636802962.2821612,2726,5775.33740234375
1636802962.3478212,3176,5778.353515625
1636802962.6364884,4967,5867.693359375
1636802962.698604,5412,5816.4560546875
1636802962.8295457,6317,5928.958984375
1636802962.902018,6773,5941.72509765625
1636802962.9696102,7230,5930.24072265625
1636802963.1735933,8584,5898.80126953125
1636802963.2409296,9029,5904.326171875
1636802963.312642,9472,5898.18212890625
1636802963.5799646,11309,5872.80615234375
1636802964.204921,15356,5805.81005859375
1636802964.4046426,16714,5864.580078125
1636802964.6672184,18532,5816.69091796875
1636802964.8195593,19444,5845.42822265625
1636802964.9649734,20353,5847.64208984375
1636802965.0337448,20803,5832.39599609375
1636802965.1682851,21719,5805.94482421875
1636802965.3012767,22614,5817.5908203125
1636802965.36472,23067,5844.4560546875
1636802965.5669978,24419,5871.32080078125
1636802965.6357832,24874,5896.791015625
1636802965.700743,25332,5890.17578125
1636802965.7630765,25777,5916.88818359375
1636802965.829855,26231,5937.705078125
1636802966.0991344,28047,5892.173828125
1636802966.2367206,28948,5883.31787109375
1636802966.3630939,29849,5859.62109375
1636802966.4343228,30303,5851.2060546875
1636802966.4972038,30755,5855.373046875
1636802966.565791,31198,5863.68017578125
1636802966.7582338,32548,5874.705078125
1636802966.824207,32995,5885.26220703125
1636802966.8890545,33449,5871.39306640625
1636802966.9636781,33906,5875.1640625
1636802967.3020244,36173,5862.60009765625
1636802967.630331,38427,5866.89306640625
1636802967.8395565,39785,5845.51806640625
1636802967.9114285,40228,5830.05615234375
1636802968.0057228,40679,5853.86083984375
1636802968.336738,42942,5869.5390625
1636802968.864688,46551,5901.52490234375
1636802969.0707996,47894,5937.2548828125
1636802969.137923,48353,5917.5087890625
1636802971.0000172,51792,6263.30712890625
1636802972.4207857,53355,6246.7919921875
1636802973.404027,54408,6137.333984375
1636802976.4243681,57645,6296.51708984375
1636802976.902229,58168,6331.9228515625
1636802977.4711394,58741,6347.06982421875
1636802979.0916858,60471,6400.7998046875
1636802979.6193888,61042,6397.9560546875
1636802983.5287282,65094,6192.8818359375
1636802984.6661344,66287,6046.64111328125
1636802985.7909503,67473,6116.26513671875
1636802986.3898416,68097,6169.9501953125
1636802986.9490151,68675,6233.71484375
1636802987.6369107,69294,6226.30810546875
1636802991.2911048,73050,5658.10205078125
1636802994.2802525,76004,5722.76708984375
1636802995.5619745,77310,5556.3388671875
1636802996.216587,77970,5563.3232421875
1636802996.782332,78538,5590.0439453125
1636802998.7218022,80517,5418.85498046875
1636803000.6676314,82460,5281.44287109375
1636803002.0044599,83733,5208.59716796875
1636803002.5993626,84313,5272.64990234375
1636803004.7292254,86421,5341.80615234375
1636803008.2317617,89832,5272.43408203125
1636803008.6082206,90185,5178.8427734375
1636803009.448456,90968,5046.18310546875
1636803010.7851036,92249,4886.8740234375
1636803012.9211483,94299,5013.23388671875
1636803014.261473,95529,5125.0322265625
1636803014.9886072,96228,5258.60107421875
1636803015.9555159,97122,5732.703125
1636803017.142693,98160,6011.4150390625
1636803017.7674458,98730,6152.7509765625
1636803021.691519,102392,6759.369140625
1636803026.5542727,106818,8090.658203125
1636803027.3917794,107605,8076.64501953125
1636803028.2984397,108448,7954.208984375
1636803030.8241742,110770,7966.01708984375
1636803033.9244218,113555,8078.12109375
1636803036.2765458,115721,8238.744140625
1636803036.7314622,116142,8343.044921875
1636803038.1530888,117436,8484.4169921875
1636803039.0859313,118274,8485.857421875
1636803040.0642018,119194,8466.6513671875
1636803042.6681895,121642,8175.31201171875
1636803043.6164145,122538,8120.86181640625
1636803044.7221017,123577,7988.8681640625
1636803046.6458695,125276,7914.375
1636803051.6968758,129896,8130.419921875
1636803052.8546624,130972,8174.52001953125
1636803055.8510337,133732,8524.8271484375
1636803057.6872106,135430,8901.73828125
1636803058.13106,135850,9262.197265625
1636803058.5948935,136274,9496.1162109375
1636803059.0457332,136694,9484.857421875
1636803060.1200786,137675,9544.3828125
1636803063.1987894,140538,8930.060546875
1636803064.1424491,141379,8983.404296875
1636803065.3477278,142502,8823.3212890625
1636803066.2642605,143342,8887.1669921875
1636803068.5456219,145447,8996.400390625
1636803069.4789872,146289,9049.6259765625
1636803071.3155577,147978,9253.8720703125
1636803074.4864657,150933,9963.6123046875
1636803074.9466052,151354,10008.3154296875
1636803077.2312033,153458,10173.9326171875
1636803077.6919928,153880,10186.7939453125
1636803078.1411042,154304,10191.0419921875
1636803079.0831861,155143,10189.4580078125
1636803079.5297089,155563,10183.337890625
1636803080.0027564,155983,10190.7265625
1636803081.8568845,157671,10192.11328125
1636803082.3167841,158094,10182.4384765625
1636803083.2366078,158934,10175.0849609375
1636803084.6193254,160204,10182.34765625
1636803086.4827423,161893,10186.9736328125
1636803086.9804404,162314,10185.8935546875
1636803087.4225855,162731,10181.060546875
1636803087.876541,163151,10184.3095703125
1636803088.782087,163992,10185.9033203125
1636803090.1787999,165261,10165.896484375
1636803090.6391938,165682,10169.271484375
1636803091.1027093,166102,10173.76171875
